Order_ID,Order_Date,Customer_ID,Country,Product,Sales_Channel,Quantity,Unit_Price,Discount_%,Total_Sales
ORD00038,2025-09-18,CUST2697,USA,Mouse,Website,5,36,10,162.0
ORD00039,2024-04-19,CUST5616,USA,Monitor,Website,5,338,10,1521.0
ORD00040,2025-12-04,CUST5114,UK,Mobile,Mobile App,3,1055,15,2690.25
ORD00041,2024-10-10,CUST3143,France,Headphones,Mobile App,1,27,10,24.3
ORD00042,2025-07-18,CUST2832,UK,Headphones,Website,4,1168,0,4672.0
ORD00043,2025-01-13,CUST8041,USA,Laptop,Mobile App,5,1151,5,5467.25
ORD00044,2025-01-08,CUST5088,UK,Monitor,Mobile App,1,752,5,714.4
ORD00045,2025-09-27,CUST3900,Germany,Laptop,Website,2,504,5,957.6
ORD00046,2024-12-06,CUST3608,UK,Tablet,Website,4,528,10,1900.8
ORD00047,2025-04-26,CUST6728,France,Keyboard,Website,2,428,15,727.6
ORD00048,2024-01-25,CUST5564,UK,Mouse,Mobile App,2,836,10,1504.8
ORD00049,2025-10-18,CUST1452,UK,Mouse,Website,5,838,10,3771.0
ORD00050,2025-08-17,CUST8119,France,Monitor,Mobile App,3,98,0,294.0
ORD00051,2025-09-12,CUST4114,France,Laptop,Mobile App,5,256,15,1088.0
ORD00052,2024-01-02,CUST6967,Germany,Mobile,Mobile App,5,1122,5,5329.5
ORD00053,2025-09-30,CUST9308,France,Tablet,Mobile App,3,275,10,742.5
ORD00054,2025-02-16,CUST4143,Germany,Tablet,Website,3,1155,5,3291.75
ORD00055,2025-09-22,CUST9977,UK,Mouse,Mobile App,5,636,15,2703.0
ORD00056,2024-08-03,CUST8238,Germany,Keyboard,Mobile App,4,679,15,2308.6
ORD00057,2024-06-22,CUST2530,USA,Mouse,Website,1,601,10,540.9
ORD00058,2024-07-22,CUST5011,Germany,Mobile,Mobile App,2,70,0,140.0
ORD00059,2025-02-28,CUST9099,Germany,Keyboard,Website,5,418,15,1776.5
ORD00060,2025-11-02,CUST4585,USA,Printer,Website,1,238,15,202.3
ORD00061,2025-07-24,CUST3184,Germany,Monitor,Mobile App,2,268,15,455.6
ORD00062,2025-09-19,CUST3607,Germany,Printer,Mobile App,5,893,15,3795.25
ORD00063,2024-09-10,CUST4919,France,Printer,Website,3,1087,15,2771.85
ORD00064,2025-12-31,CUST6502,France,Mobile,Website,3,500,10,1350.0
ORD00065,2024-06-03,CUST4505,UK,Tablet,Mobile App,2,804,5,1527.6
ORD00066,2024-12-04,CUST2020,USA,Tablet,Mobile App,5,974,15,4139.5
ORD00067,2025-08-21,CUST8814,UK,Monitor,Mobile App,1,1199,15,1019.15
ORD00068,2025-02-03,CUST8999,USA,Mouse,Mobile App,4,1122,5,4263.6
ORD00069,2025-05-12,CUST7624,USA,Printer,Website,1,816,10,734.4
ORD00070,2025-09-29,CUST1444,UK,Tablet,Website,5,75,15,318.75
ORD00071,2025-04-17,CUST7211,France,Keyboard,Mobile App,2,122,10,219.6
ORD00072,2024-11-30,CUST7906,France,Mobile,Mobile App,3,796,10,2149.2
ORD00073,2024-01-20,CUST4673,UK,Laptop,Website,5,126,10,567.0
ORD00074,2024-09-10,CUST4908,USA,Printer,Website,2,61,5,115.9
ORD00075,2025-07-31,CUST7043,USA,Mobile,Website,2,972,10,1749.6
ORD00076,2024-11-14,CUST7149,Germany,Keyboard,Website,1,72,10,64.8
ORD00077,2025-08-29,CUST2983,UK,Monitor,Mobile App,2,228,10,410.4
ORD00078,2025-11-08,CUST1207,Germany,Printer,Website,3,161,10,434.7
ORD00079,2025-03-19,CUST8135,USA,Mouse,Mobile App,3,961,5,2738.85
ORD00080,2025-04-21,CUST5022,UK,Mouse,Mobile App,4,569,10,2048.4
ORD00081,2024-09-06,CUST6511,UK,Printer,Mobile App,4,1187,15,4035.8
ORD00082,2024-07-05,CUST5232,France,Mouse,Mobile App,4,454,10,1634.4
ORD00083,2025-07-23,CUST2402,USA,Tablet,Mobile App,1,1078,5,1024.1
ORD00084,2025-07-22,CUST8342,UK,Mobile,Mobile App,2,995,15,1691.5
ORD00085,2024-08-14,CUST7046,Germany,Monitor,Mobile App,4,518,10,1864.8
ORD00086,2025-07-17,CUST5438,France,Mouse,Website,3,740,15,1887.0
ORD00087,2024-05-03,CUST9779,USA,Keyboard,Website,2,666,0,1332.0
ORD00088,2025-05-10,CUST2647,USA,Mouse,Website,3,1094,10,2953.8
ORD00089,2025-01-04,CUST9751,USA,Mouse,Website,2,639,0,1278.0
ORD00090,2024-02-25,CUST9042,UK,Laptop,Mobile App,5,618,5,2935.5
ORD00091,2025-04-25,CUST4020,UK,Mouse,Mobile App,4,922,10,3319.2
ORD00092,2024-04-26,CUST2213,UK,Headphones,Website,1,840,15,714.0
ORD00093,2025-07-30,CUST2940,Germany,Keyboard,Mobile App,3,194,5,552.9
ORD00094,2025-04-06,CUST6003,UK,Mobile,Website,4,628,15,2135.2
ORD00095,2025-10-02,CUST3573,USA,Headphones,Website,2,561,0,1122.0
ORD00096,2024-06-09,CUST8699,France,Laptop,Website,1,856,15,727.6
ORD00097,2024-10-22,CUST4824,France,Keyboard,Mobile App,3,949,0,2847.0
ORD00098,2024-04-27,CUST5352,USA,Mobile,Website,5,480,5,2280.0
ORD00099,2024-06-18,CUST8195,UK,Printer,Mobile App,3,1185,10,3199.5
ORD00100,2025-12-17,CUST8172,UK,Laptop,Mobile App,4,577,15,1961.8
ORD00101,2024-11-26,CUST2496,USA,Laptop,Mobile App,5,532,0,2660.0
ORD00102,2025-08-13,CUST9502,Germany,Mouse,Website,1,378,15,321.3
ORD00103,2025-08-22,CUST8700,France,Tablet,Mobile App,4,1027,0,4108.0
ORD00104,2024-11-24,CUST7744,Germany,Mouse,Mobile App,1,349,10,314.1
ORD00105,2025-07-17,CUST6153,France,Monitor,Website,1,951,0,951.0
ORD00106,2025-02-17,CUST7770,UK,Keyboard,Mobile App,5,22,15,93.5
ORD00107,2025-09-29,CUST4335,France,Headphones,Mobile App,4,925,0,3700.0
ORD00108,2025-03-24,CUST4920,USA,Mouse,Website,4,268,0,1072.0
ORD00109,2025-07-19,CUST2858,Germany,Mobile,Website,4,210,5,798.0
ORD00110,2025-05-25,CUST7807,Germany,Printer,Website,3,1062,10,2867.4
ORD00111,2025-04-12,CUST4122,USA,Mobile,Mobile App,5,316,15,1343.0
ORD00112,2025-02-28,CUST1042,France,Mouse,Mobile App,3,1059,10,2859.3
ORD00113,2024-06-01,CUST6654,France,Tablet,Mobile App,4,1123,15,3818.2
ORD00114,2024-11-25,CUST4826,Germany,Laptop,Mobile App,2,509,15,865.3
ORD00115,2025-04-29,CUST9115,UK,Headphones,Mobile App,4,810,5,3078.0
ORD00116,2024-04-12,CUST1251,USA,Tablet,Website,4,224,15,761.6
ORD00117,2024-03-17,CUST7512,UK,Monitor,Mobile App,4,562,10,2023.2
ORD00118,2024-11-20,CUST2121,USA,Mouse,Website,4,1128,0,4512.0
ORD00119,2024-04-02,CUST8269,USA,Mouse,Website,4,221,0,884.0
ORD00120,2024-02-17,CUST6873,France,Tablet,Website,3,134,10,361.8
ORD00121,2024-09-07,CUST3785,USA,Mobile,Mobile App,5,863,5,4099.25
ORD00122,2025-09-26,CUST4804,Germany,Mouse,Mobile App,2,1039,5,1974.1
ORD00123,2024-09-18,CUST9955,USA,Mobile,Mobile App,1,972,10,874.8
ORD00124,2024-12-19,CUST5097,Germany,Mouse,Website,5,632,15,2686.0
ORD00125,2025-01-28,CUST7248,France,Mouse,Mobile App,4,238,5,904.4
ORD00126,2024-01-23,CUST1803,Germany,Mouse,Website,4,582,0,2328.0
ORD00127,2025-09-13,CUST5106,USA,Mobile,Website,3,468,5,1333.8
ORD00128,2024-11-12,CUST3153,UK,Mouse,Mobile App,4,88,10,316.8
ORD00129,2025-03-01,CUST9837,France,Mouse,Website,2,431,5,818.9
ORD00130,2024-09-20,CUST2886,Germany,Mobile,Website,4,624,10,2246.4
ORD00131,2024-08-19,CUST2479,Germany,Laptop,Mobile App,4,1161,10,4179.6
ORD00132,2025-07-03,CUST5295,Germany,Monitor,Website,1,951,10,855.9
ORD00133,2025-11-22,CUST6374,USA,Mobile,Mobile App,2,985,0,1970.0
ORD00134,2025-12-18,CUST3290,UK,Laptop,Mobile App,3,856,0,2568.0
ORD00135,2025-05-19,CUST9807,USA,Tablet,Mobile App,1,219,5,208.05
ORD00136,2025-01-14,CUST7797,UK,Printer,Mobile App,5,878,5,4170.5
ORD00137,2024-10-13,CUST8264,Germany,Keyboard,Mobile App,1,778,5,739.1
ORD00138,2024-04-11,CUST1992,Germany,Mouse,Website,3,1135,10,3064.5
ORD00139,2024-05-05,CUST1349,UK,Monitor,Website,4,207,5,786.6
ORD00140,2024-05-08,CUST4394,USA,Keyboard,Mobile App,5,440,0,2200.0
ORD00141,2024-05-31,CUST3370,USA,Mouse,Website,5,25,10,112.5
ORD00142,2024-04-22,CUST6869,USA,Monitor,Website,1,289,0,289.0
ORD00143,2024-06-27,CUST7897,UK,Mobile,Mobile App,3,127,5,361.95
ORD00144,2025-04-04,CUST8405,USA,Laptop,Mobile App,3,1071,0,3213.0
ORD00145,2025-04-14,CUST7580,Germany,Mobile,Mobile App,1,144,15,122.4
ORD00146,2025-12-30,CUST6277,USA,Mobile,Website,4,170,0,680.0
ORD00147,2024-10-08,CUST7240,France,Printer,Mobile App,5,1143,10,5143.5
ORD00148,2024-04-11,CUST8046,Germany,Keyboard,Mobile App,1,1149,5,1091.55
ORD00149,2024-12-13,CUST2557,France,Tablet,Mobile App,4,836,15,2842.4
ORD00150,2025-11-12,CUST8770,UK,Mobile,Website,3,786,5,2240.1
ORD00151,2024-04-05,CUST3131,UK,Monitor,Website,4,217,10,781.2
ORD00152,2025-02-24,CUST5712,France,Monitor,Website,3,886,0,2658.0
ORD00153,2025-08-14,CUST8900,USA,Mobile,Mobile App,5,455,5,2161.25
ORD00154,2025-07-23,CUST4705,Germany,Laptop,Mobile App,3,255,10,688.5
ORD00155,2024-01-30,CUST6567,France,Laptop,Website,2,579,10,1042.2
ORD00156,2024-05-26,CUST3324,UK,Mobile,Website,5,840,0,4200.0
ORD00157,2025-01-20,CUST3578,France,Mouse,Mobile App,4,949,10,3416.4
ORD00158,2025-08-04,CUST3549,USA,Laptop,Website,5,193,0,965.0
ORD00159,2024-10-05,CUST8242,Germany,Mouse,Website,4,888,15,3019.2
ORD00160,2025-06-08,CUST2816,France,Printer,Mobile App,1,726,15,617.1
ORD00161,2024-02-16,CUST1125,USA,Mouse,Website,2,829,0,1658.0
ORD00162,2024-05-20,CUST2965,UK,Printer,Mobile App,3,612,10,1652.4
ORD00163,2024-06-28,CUST9196,France,Mobile,Mobile App,2,798,5,1516.2
ORD00164,2024-02-13,CUST2275,France,Tablet,Mobile App,4,58,15,197.2
ORD00165,2025-12-27,CUST7636,UK,Monitor,Website,4,612,0,2448.0
ORD00166,2025-09-24,CUST8155,UK,Keyboard,Mobile App,4,761,0,3044.0
ORD00167,2025-08-26,CUST7484,France,Monitor,Website,4,1093,0,4372.0
ORD00168,2024-12-07,CUST9693,USA,Monitor,Mobile App,2,176,0,352.0
ORD00169,2025-10-22,CUST3399,France,Keyboard,Website,2,503,0,1006.0
ORD00170,2025-09-08,CUST9095,Germany,Printer,Mobile App,2,174,5,330.6
ORD00171,2025-10-04,CUST2118,Germany,Printer,Mobile App,3,329,15,838.95
ORD00172,2024-10-08,CUST9312,UK,Mouse,Mobile App,5,135,10,607.5
ORD00173,2025-04-07,CUST5703,UK,Mobile,Mobile App,1,136,10,122.4
ORD00174,2025-04-18,CUST8368,USA,Monitor,Mobile App,5,1155,0,5775.0
ORD00175,2025-05-28,CUST2695,France,Mobile,Website,2,146,15,248.2
ORD00176,2024-02-10,CUST9586,USA,Monitor,Mobile App,2,916,15,1557.2
ORD00177,2024-10-16,CUST1857,France,Mobile,Mobile App,4,857,10,3085.2
ORD00178,2024-04-06,CUST5128,USA,Monitor,Website,5,811,10,3649.5
ORD00179,2025-08-19,CUST7421,USA,Mobile,Mobile App,2,736,10,1324.8
ORD00180,2025-07-26,CUST9624,UK,Tablet,Mobile App,4,692,5,2629.6
ORD00181,2024-01-19,CUST4509,France,Printer,Website,3,652,5,1858.2
ORD00182,2024-08-19,CUST5846,UK,Laptop,Mobile App,2,337,0,674.0
ORD00183,2025-09-24,CUST3658,USA,Headphones,Mobile App,2,791,5,1502.9
ORD00184,2024-02-14,CUST8277,France,Printer,Website,4,766,5,2910.8
ORD00185,2025-06-30,CUST4178,France,Printer,Mobile App,2,653,15,1110.1
ORD00186,2024-10-15,CUST3655,USA,Headphones,Mobile App,4,1049,15,3566.6
ORD00187,2024-02-23,CUST9452,UK,Mouse,Website,4,780,0,3120.0
ORD00188,2024-06-13,CUST8167,UK,Keyboard,Mobile App,3,940,5,2679.0
ORD00189,2024-12-23,CUST7495,France,Keyboard,Mobile App,1,869,0,869.0
ORD00190,2024-03-24,CUST6221,UK,Monitor,Website,3,479,0,1437.0
ORD00191,2024-05-20,CUST3273,Germany,Printer,Website,1,607,15,515.95
ORD00192,2024-03-22,CUST3449,Germany,Mobile,Mobile App,1,544,5,516.8
ORD00193,2024-08-31,CUST4906,Germany,Printer,Website,3,269,0,807.0
ORD00194,2024-04-23,CUST9443,USA,Headphones,Mobile App,4,1117,0,4468.0
ORD00195,2025-03-15,CUST7825,USA,Mobile,Mobile App,1,742,5,704.9
ORD00196,2024-03-10,CUST7397,Germany,Laptop,Mobile App,5,1134,0,5670.0
ORD00197,2025-01-17,CUST2106,France,Keyboard,Website,3,53,10,143.1
ORD00198,2025-08-18,CUST6772,France,Headphones,Mobile App,3,293,0,879.0
ORD00199,2025-12-13,CUST2033,Germany,Laptop,Mobile App,4,393,5,1493.4
ORD00200,2024-07-25,CUST6170,France,Tablet,Mobile App,1,428,0,428.0
ORD00201,2024-09-16,CUST6848,UK,Monitor,Mobile App,1,411,10,369.9
ORD00202,2024-05-07,CUST8204,Germany,Monitor,Website,3,914,15,2330.7
ORD00203,2025-05-23,CUST2353,Germany,Mobile,Mobile App,4,772,10,2779.2
ORD00204,2025-09-08,CUST6262,UK,Mobile,Mobile App,2,1137,10,2046.6
ORD00205,2025-11-07,CUST7981,USA,Printer,Mobile App,3,647,15,1649.85
ORD00206,2025-04-02,CUST5498,UK,Mobile,Mobile App,1,742,15,630.7
ORD00207,2025-01-07,CUST3339,Germany,Laptop,Website,5,347,0,1735.0
ORD00208,2024-03-09,CUST7272,UK,Headphones,Mobile App,2,770,10,1386.0
ORD00209,2025-01-14,CUST3255,France,Tablet,Mobile App,3,929,0,2787.0
ORD00210,2025-10-27,CUST1424,USA,Printer,Mobile App,3,531,0,1593.0
ORD00211,2025-07-29,CUST8311,USA,Mouse,Mobile App,1,556,10,500.4
ORD00212,2024-07-23,CUST8406,USA,Printer,Website,1,297,0,297.0
ORD00213,2025-11-29,CUST9882,France,Mouse,Website,3,731,0,2193.0
ORD00214,2025-12-29,CUST2988,USA,Headphones,Website,2,760,5,1444.0
ORD00215,2025-05-20,CUST8657,USA,Mobile,Website,1,759,10,683.1
ORD00216,2024-11-12,CUST7708,UK,Headphones,Mobile App,4,1000,15,3400.0
ORD00217,2025-10-19,CUST9476,France,Headphones,Website,1,941,15,799.85
ORD00218,2024-05-12,CUST3034,USA,Mouse,Website,4,1049,0,4196.0
ORD00219,2024-06-14,CUST9501,France,Mobile,Mobile App,3,481,10,1298.7
ORD00220,2024-07-20,CUST5961,UK,Headphones,Website,5,582,5,2764.5
ORD00221,2024-06-24,CUST1464,UK,Laptop,Mobile App,5,711,0,3555.0
ORD00222,2025-10-28,CUST1496,Germany,Mouse,Mobile App,2,1191,15,2024.7
ORD00223,2025-05-09,CUST8430,UK,Laptop,Website,2,851,10,1531.8
ORD00224,2025-03-26,CUST4342,France,Headphones,Mobile App,4,1011,15,3437.4
ORD00225,2024-11-22,CUST7070,UK,Monitor,Website,3,836,5,2382.6
ORD00226,2025-04-22,CUST5061,USA,Mobile,Website,1,567,15,481.95
ORD00227,2024-10-24,CUST3616,France,Monitor,Website,4,876,5,3328.8
ORD00228,2024-06-12,CUST9171,France,Printer,Website,4,1074,15,3651.6
ORD00229,2024-04-02,CUST4944,USA,Monitor,Website,4,1055,15,3587.0
ORD00230,2024-02-21,CUST5681,UK,Mobile,Mobile App,3,1033,15,2634.15
ORD00231,2024-05-17,CUST6995,UK,Tablet,Website,3,769,15,1960.95
ORD00232,2025-08-06,CUST5728,UK,Tablet,Mobile App,5,418,10,1881.0
ORD00233,2025-07-17,CUST2584,Germany,Monitor,Mobile App,3,263,5,749.55
ORD00234,2025-07-25,CUST9341,Germany,Laptop,Website,3,315,5,897.75
ORD00235,2024-02-09,CUST9508,Germany,Headphones,Website,2,702,15,1193.4
ORD00236,2024-12-01,CUST7438,France,Monitor,Mobile App,5,672,5,3192.0
ORD00237,2025-12-26,CUST1272,France,Monitor,Website,5,633,15,2690.25
ORD00238,2025-03-02,CUST8775,France,Keyboard,Website,5,650,0,3250.0
ORD00239,2025-08-20,CUST3421,USA,Laptop,Website,4,369,15,1254.6
ORD00240,2024-07-14,CUST7861,USA,Tablet,Website,1,923,10,830.7
ORD00241,2025-02-24,CUST3262,USA,Monitor,Mobile App,5,985,0,4925.0
ORD00242,2025-06-22,CUST8531,France,Monitor,Mobile App,4,662,5,2515.6
ORD00243,2025-09-16,CUST5571,France,Keyboard,Mobile App,4,413,5,1569.4
ORD00244,2024-10-22,CUST8861,France,Mouse,Mobile App,2,1021,10,1837.8
ORD00245,2024-05-04,CUST7464,France,Headphones,Mobile App,5,1132,15,4811.0
ORD00246,2024-02-13,CUST8247,France,Printer,Website,3,181,10,488.7
ORD00247,2024-07-25,CUST3249,UK,Keyboard,Website,5,575,10,2587.5
ORD00248,2024-02-21,CUST1860,UK,Tablet,Mobile App,5,482,5,2289.5
ORD00249,2025-04-28,CUST3587,Germany,Printer,Mobile App,1,301,0,301.0
ORD00250,2025-10-28,CUST5676,UK,Mobile,Website,2,608,10,1094.4
ORD00251,2025-07-01,CUST3880,UK,Tablet,Mobile App,1,378,15,321.3
ORD00252,2024-07-09,CUST5888,UK,Monitor,Mobile App,3,96,0,288.0
ORD00253,2025-04-10,CUST3198,Germany,Mouse,Website,5,1093,15,4645.25
ORD00254,2024-04-25,CUST5215,USA,Laptop,Mobile App,3,352,15,897.6
ORD00255,2024-10-29,CUST7643,Germany,Monitor,Website,5,415,5,1971.25
ORD00256,2025-02-14,CUST8822,France,Keyboard,Website,1,398,5,378.1
ORD00257,2024-09-24,CUST5374,France,Mouse,Website,4,502,15,1706.8
ORD00258,2024-09-24,CUST2936,Germany,Mouse,Website,3,503,0,1509.0
ORD00259,2025-02-19,CUST5833,France,Keyboard,Website,5,656,0,3280.0
ORD00260,2024-05-16,CUST7121,Germany,Printer,Website,4,333,15,1132.2
ORD00261,2024-09-10,CUST9653,France,Mobile,Website,5,187,15,794.75
ORD00262,2024-03-04,CUST9792,USA,Headphones,Mobile App,5,1055,5,5011.25
ORD00263,2025-06-16,CUST9008,UK,Printer,Website,4,258,5,980.4
ORD00264,2025-04-09,CUST8484,UK,Printer,Mobile App,2,1071,15,1820.7
ORD00265,2024-01-23,CUST4570,UK,Laptop,Mobile App,4,541,0,2164.0
ORD00266,2024-12-18,CUST2130,Germany,Laptop,Mobile App,1,1128,0,1128.0
ORD00267,2025-02-22,CUST7135,Germany,Printer,Mobile App,2,297,15,504.9
ORD00268,2025-01-19,CUST6697,UK,Headphones,Mobile App,1,1124,5,1067.8
ORD00269,2025-06-25,CUST1372,France,Printer,Mobile App,2,476,0,952.0
ORD00270,2025-06-28,CUST8546,France,Headphones,Mobile App,4,490,5,1862.0
ORD00271,2024-07-12,CUST1256,USA,Keyboard,Website,1,85,15,72.25
ORD00272,2024-04-13,CUST1797,USA,Laptop,Mobile App,5,88,15,374.0
ORD00273,2025-03-25,CUST1924,USA,Mouse,Website,2,1125,5,2137.5
ORD00274,2025-08-12,CUST5944,USA,Keyboard,Mobile App,3,676,5,1926.6
ORD00275,2024-11-03,CUST7999,Germany,Laptop,Mobile App,3,144,5,410.4
ORD00276,2025-10-20,CUST7821,Germany,Headphones,Mobile App,4,1094,10,3938.4
ORD00277,2025-01-20,CUST4948,USA,Mouse,Website,2,1121,15,1905.7
ORD00278,2025-04-19,CUST7824,USA,Tablet,Website,1,1171,15,995.35
ORD00279,2024-09-18,CUST8369,France,Mobile,Website,2,696,0,1392.0
ORD00280,2024-02-22,CUST2192,USA,Keyboard,Mobile App,3,792,0,2376.0
ORD00281,2024-08-01,CUST4470,USA,Mobile,Mobile App,3,640,0,1920.0
ORD00282,2024-09-05,CUST4921,France,Mouse,Mobile App,5,438,15,1861.5
ORD00283,2025-04-22,CUST5285,France,Printer,Mobile App,5,755,10,3397.5
ORD00284,2024-04-10,CUST7073,France,Tablet,Website,4,675,5,2565.0
ORD00285,2025-07-30,CUST5272,Germany,Mouse,Website,2,318,0,636.0
ORD00286,2024-07-19,CUST5026,Germany,Monitor,Mobile App,3,491,15,1252.05
ORD00287,2025-05-15,CUST6770,USA,Headphones,Mobile App,4,963,5,3659.4
ORD00288,2024-07-07,CUST2217,UK,Laptop,Mobile App,5,140,0,700.0
ORD00289,2024-05-20,CUST1149,USA,Printer,Mobile App,2,159,5,302.1
ORD00290,2024-03-02,CUST1257,UK,Tablet,Website,5,1009,15,4288.25
ORD00291,2024-01-18,CUST1280,Germany,Headphones,Website,5,582,10,2619.0
ORD00292,2024-04-08,CUST4144,France,Monitor,Mobile App,5,324,5,1539.0
ORD00293,2025-02-10,CUST8520,USA,Keyboard,Mobile App,1,784,15,666.4
ORD00294,2025-12-01,CUST7640,Germany,Tablet,Mobile App,1,84,0,84.0
ORD00295,2024-02-27,CUST9189,Germany,Monitor,Website,1,370,0,370.0
ORD00296,2025-06-24,CUST8790,France,Laptop,Website,1,490,5,465.5
ORD00297,2025-12-01,CUST3938,France,Laptop,Website,3,1132,0,3396.0
ORD00298,2025-08-24,CUST5903,USA,Keyboard,Mobile App,2,835,0,1670.0
ORD00299,2025-11-24,CUST3292,UK,Monitor,Website,5,699,15,2970.75
ORD00300,2024-04-10,CUST6580,Germany,Monitor,Website,4,495,0,1980.0
ORD00301,2025-10-11,CUST4737,France,Tablet,Mobile App,3,942,15,2402.1
ORD00302,2024-07-09,CUST5839,USA,Mobile,Website,5,798,0,3990.0
ORD00303,2024-10-01,CUST7383,France,Monitor,Website,2,798,5,1516.2
ORD00304,2024-04-03,CUST6896,France,Mobile,Website,1,651,15,553.35
ORD00305,2024-03-30,CUST9395,Germany,Mobile,Website,2,902,15,1533.4
ORD00306,2024-04-01,CUST6315,Germany,Laptop,Mobile App,3,1155,0,3465.0
ORD00307,2025-02-27,CUST9537,USA,Tablet,Website,4,193,5,733.4
ORD00308,2024-05-22,CUST9079,USA,Mobile,Website,3,636,10,1717.2
ORD00309,2025-03-21,CUST8933,UK,Monitor,Mobile App,3,882,10,2381.4
ORD00310,2024-09-09,CUST2752,USA,Mouse,Website,4,420,15,1428.0
ORD00311,2025-02-09,CUST8212,France,Tablet,Website,3,798,10,2154.6
ORD00312,2024-11-03,CUST6147,USA,Tablet,Mobile App,3,431,15,1099.05
ORD00313,2024-10-25,CUST6339,Germany,Mouse,Mobile App,4,1199,5,4556.2
ORD00314,2025-01-08,CUST9939,USA,Laptop,Mobile App,1,1174,5,1115.3
ORD00315,2025-12-26,CUST2133,Germany,Printer,Website,2,917,10,1650.6
ORD00316,2025-10-10,CUST3525,Germany,Tablet,Website,3,515,10,1390.5
ORD00317,2025-04-04,CUST9755,Germany,Laptop,Mobile App,5,1001,15,4254.25
ORD00318,2025-12-19,CUST5067,France,Headphones,Website,5,194,0,970.0
ORD00319,2025-07-30,CUST2735,UK,Mobile,Mobile App,4,699,15,2376.6
ORD00320,2024-08-15,CUST8303,France,Tablet,Mobile App,5,1082,5,5139.5
ORD00321,2025-11-26,CUST6651,UK,Printer,Website,5,1044,5,4959.0
ORD00322,2024-10-29,CUST3321,France,Mouse,Mobile App,4,195,0,780.0
ORD00323,2025-04-11,CUST6706,Germany,Mobile,Mobile App,2,1087,15,1847.9
ORD00324,2025-12-14,CUST5919,UK,Mobile,Website,4,673,0,2692.0
ORD00325,2024-12-17,CUST9454,USA,Headphones,Mobile App,1,356,5,338.2
ORD00326,2025-07-27,CUST7636,USA,Headphones,Mobile App,4,966,5,3670.8
ORD00327,2025-02-09,CUST8037,Germany,Laptop,Website,1,424,15,360.4
